type,depth,arity,density
natural,6,0.95,0.05
random,4,0.95,0.05
natural,5,0.9523809523809523,0.047619047619047616
random,6,0.9523809523809523,0.047619047619047616
natural,11,0.9743589743589743,0.02564102564102564
random,6,0.9743589743589743,0.02564102564102564
natural,8,0.9444444444444444,0.05555555555555555
random,5,0.9444444444444444,0.05555555555555555
natural,6,0.9705882352941176,0.029411764705882353
random,5,0.9705882352941176,0.029411764705882353
natural,4,0.9444444444444444,0.05555555555555555
random,4,0.9444444444444444,0.05555555555555555
natural,8,0.96875,0.03125
random,5,0.96875,0.03125
natural,8,0.9655172413793104,0.034482758620689655
random,6,0.9655172413793104,0.034482758620689655
natural,9,0.9705882352941176,0.029411764705882353
random,5,0.9705882352941176,0.029411764705882353
